region_id,region_name,year,crop_id,area,production,yield
UA05,Vinnytska,2010,50,352.8,11779.7,33.4
UA05,Vinnytska,2010,80,30.1,822.5,27.3
UA05,Vinnytska,2010,130,67,1774.4,26.5
UA05,Vinnytska,2010,140,155.7,3695.7,23.7
UA05,Vinnytska,2010,160,7.9,154.3,19.5
UA05,Vinnytska,2010,211,382.9,12602.3,32.9
UA05,Vinnytska,2010,213,222.7,5470.2,24.6
UA05,Vinnytska,2010,214,7.9,154.4,19.5
UA05,Vinnytska,2010,215,6,110.4,18.5
UA05,Vinnytska,2010,216,189.3,12310.8,65
UA05,Vinnytska,2010,220,14.8,143.4,9.7
UA05,Vinnytska,2010,222,75.07,24565.2,327.3
UA05,Vinnytska,2010,231,163.28,2747.4,16.8
UA05,Vinnytska,2010,232,44.02,787.6,17.89186733
UA05,Vinnytska,2010,233,86.95,1583.1,18.2
UA05,Vinnytska,2010,240,1.6,27.1,16.7
UA05,Vinnytska,2010,250,0,0,0
UA05,Vinnytska,2010,270,18.3,291.8,15.9
UA05,Vinnytska,2011,30,860.1,42435.6,49.3
UA05,Vinnytska,2011,50,363.2,16457.2,45.3
UA05,Vinnytska,2011,80,22.5,738.7,32.9
UA05,Vinnytska,2011,130,51.5,1919.8,37.3
UA05,Vinnytska,2011,140,117.5,3432.8,29.2
UA05,Vinnytska,2011,160,4.9,125.5,25.5
UA05,Vinnytska,2011,211,387.8,17264.5,44.5
UA05,Vinnytska,2011,213,169,5352.5,31.7
UA05,Vinnytska,2011,214,5,126.6,25.5
UA05,Vinnytska,2011,215,3.7,80.1,21.6
UA05,Vinnytska,2011,216,253.5,18995.5,74.9
UA05,Vinnytska,2011,220,24.3,275.3,11.3
UA05,Vinnytska,2011,222,72.02,30127.4,418.3
UA05,Vinnytska,2011,231,147.95,2890.2,19.5
UA05,Vinnytska,2011,232,71.96,1429.9,19.87076153
UA05,Vinnytska,2011,233,115.54,2116.8,18.3
UA05,Vinnytska,2011,240,2.5,53.6,21.8
UA05,Vinnytska,2011,250,0,0,0
UA05,Vinnytska,2011,270,12,204.3,17
UA05,Vinnytska,2012,30,841.5,36247.1,43.1
UA05,Vinnytska,2012,50,342.7,13533,39.5
UA05,Vinnytska,2012,80,17,484,28.5
UA05,Vinnytska,2012,130,44.2,1460.9,33
UA05,Vinnytska,2012,140,108.6,3309.3,30.5
UA05,Vinnytska,2012,160,5.7,148.6,26
UA05,Vinnytska,2012,211,359.7,14017,39
UA05,Vinnytska,2012,213,152.8,4770.2,31.2
UA05,Vinnytska,2012,214,5.8,150,25.8
UA05,Vinnytska,2012,215,4.7,120.2,25.4
UA05,Vinnytska,2012,216,286,16732.8,58.5
UA05,Vinnytska,2012,220,21.1,194.4,9.2
UA05,Vinnytska,2012,222,81.2,28440.2,350.3
UA05,Vinnytska,2012,231,157.4,3466.4,22
UA05,Vinnytska,2012,232,52.64,1153.3,21.9
UA05,Vinnytska,2012,233,133.39,1981.9,14.9
UA05,Vinnytska,2012,240,1.1,21.7,20.5
UA05,Vinnytska,2012,250,0,0,0
UA05,Vinnytska,2012,270,9,188.4,20.9
UA05,Vinnytska,2013,30,871.7,48522.9,55.7
UA05,Vinnytska,2013,50,345.2,14888.3,43.1
UA05,Vinnytska,2013,80,10.1,319.4,31.6
UA05,Vinnytska,2013,130,49.4,1750.3,35.5
UA05,Vinnytska,2013,140,88.7,2974.3,33.5
UA05,Vinnytska,2013,160,3.9,119.4,30.5
UA05,Vinnytska,2013,211,355.3,15207.7,42.8
UA05,Vinnytska,2013,213,138,4724.6,34.2
UA05,Vinnytska,2013,214,3.9,119.7,30.5
UA05,Vinnytska,2013,215,3.1,73,23.6
UA05,Vinnytska,2013,216,345.3,27857.2,80.7
UA05,Vinnytska,2013,220,12.3,158.6,12.9
UA05,Vinnytska,2013,222,63.99,25622.8,400.4
UA05,Vinnytska,2013,231,166.7,5074.1,30.4
UA05,Vinnytska,2013,232,90.99,2452.6,27
UA05,Vinnytska,2013,233,114.75,2293.4,20
UA05,Vinnytska,2013,240,0.4,8.8,21.6
UA05,Vinnytska,2013,250,0,0,0
UA05,Vinnytska,2013,270,8.2,191.6,23.3
UA05,Vinnytska,2014,30,834.6,50631,60.7
UA05,Vinnytska,2014,50,318.7,16409.9,51.5
UA05,Vinnytska,2014,80,21.1,1012.2,47.8
UA05,Vinnytska,2014,130,45.4,1893.9,41.8
UA05,Vinnytska,2014,140,92.4,3628.4,39.3
UA05,Vinnytska,2014,160,2.3,65,28.3
UA05,Vinnytska,2014,211,339.8,17422.1,51.3
UA05,Vinnytska,2014,213,137.8,5522.3,40.1
UA05,Vinnytska,2014,214,2.3,66.2,28.2
UA05,Vinnytska,2014,215,4.5,145.5,32.9
UA05,Vinnytska,2014,216,327.1,27027.3,82.6
UA05,Vinnytska,2014,220,11.9,164.3,13.8
UA05,Vinnytska,2014,222,60.9,30441.7,499.9
UA05,Vinnytska,2014,231,193,5312.1,27.5
UA05,Vinnytska,2014,232,75.3,2355.4,31.3
UA05,Vinnytska,2014,233,164.9,3701.1,22.4
UA05,Vinnytska,2014,240,1.2,22.2,18.6
UA05,Vinnytska,2014,250,0,0,0
UA05,Vinnytska,2014,270,8.9,222.8,25
UA05,Vinnytska,2015,30,819.3,37682.6,46
UA05,Vinnytska,2015,50,364.6,17623.6,48.3
UA05,Vinnytska,2015,80,12.4,468.7,37.9
UA05,Vinnytska,2015,130,37.5,1478.7,39.4
UA05,Vinnytska,2015,140,78.9,2916.3,37
UA05,Vinnytska,2015,160,1.7,42.6,24.7
UA05,Vinnytska,2015,211,376.9,18092.3,48
UA05,Vinnytska,2015,213,116.5,4395,37.7
UA05,Vinnytska,2015,214,1.8,44.1,24.6
UA05,Vinnytska,2015,215,2.3,62.4,27.5
UA05,Vinnytska,2015,216,299.8,14769.3,49.3
UA05,Vinnytska,2015,220,9,81.3,9
UA05,Vinnytska,2015,222,51.7,20570.1,398
UA05,Vinnytska,2015,231,187,5035.8,26.9
UA05,Vinnytska,2015,232,67.9,1889,27.8
UA05,Vinnytska,2015,233,218.9,2906.6,13.3
UA05,Vinnytska,2015,240,1,14.3,15.1
UA05,Vinnytska,2015,250,0,0,0
UA05,Vinnytska,2015,270,11.8,215.4,18.2
UA05,Vinnytska,2016,30,867.2,55635.2,64.2
UA05,Vinnytska,2016,50,384.2,22071.6,57.4
UA05,Vinnytska,2016,80,12.9,593.7,46.3
UA05,Vinnytska,2016,130,50.5,2596.9,51.5
UA05,Vinnytska,2016,140,82.8,3681.6,44.5
UA05,Vinnytska,2016,160,2.1,68.3,31.8
UA05,Vinnytska,2016,211,397.1,22665.3,57.1
UA05,Vinnytska,2016,213,133.3,6278.5,47.1
UA05,Vinnytska,2016,214,2.1,69.1,31.6
UA05,Vinnytska,2016,215,2.1,71.4,33.7
UA05,Vinnytska,2016,216,303.9,25743.6,84.7
UA05,Vinnytska,2016,220,9.9,139,14
UA05,Vinnytska,2016,222,54.7,26385.8,482.4
UA05,Vinnytska,2016,231,266.7,8197.9,30.7
UA05,Vinnytska,2016,232,35.4,991.5,27.9
UA05,Vinnytska,2016,233,141.4,3233.2,22.9
UA05,Vinnytska,2016,240,0.8,17.8,23.5
UA05,Vinnytska,2016,250,0,0,0
UA05,Vinnytska,2016,270,14.7,438.3,29.7
UA05,Vinnytska,2017,30,853.3,48888.8,57.3
UA05,Vinnytska,2017,50,327.3,16718.9,51.1
UA05,Vinnytska,2017,80,14.9,662.1,44.5
UA05,Vinnytska,2017,130,33.4,1575.6,47.2
UA05,Vinnytska,2017,140,72.5,3114.6,43
UA05,Vinnytska,2017,160,2.2,68,30.3
UA05,Vinnytska,2017,211,342.2,17381,50.8
UA05,Vinnytska,2017,213,105.9,4690.2,44.3
UA05,Vinnytska,2017,214,2.2,69.1,30.2
UA05,Vinnytska,2017,215,1.3,42.7,33.3
UA05,Vinnytska,2017,216,355.8,25545.3,71.8
UA05,Vinnytska,2017,220,11.8,136.4,11.5
UA05,Vinnytska,2017,222,54.7,26385.8,482.4
UA05,Vinnytska,2017,231,266.7,8197.9,30.7
UA05,Vinnytska,2017,232,35.4,991.5,27.9
UA05,Vinnytska,2017,233,141.4,3233.2,22.9
UA05,Vinnytska,2017,240,0.5,9.4,18.1
UA05,Vinnytska,2017,270,32.4,957.1,29.6
UA05,Vinnytska,2018,30,856.3,59110.9,69
UA05,Vinnytska,2018,50,314.6,16325.5,51.9
UA05,Vinnytska,2018,80,10.2,412.1,40.2
UA05,Vinnytska,2018,130,29.9,1312.2,43.8
UA05,Vinnytska,2018,140,75.4,2634.8,34.9
UA05,Vinnytska,2018,160,1.7,45.3,26
UA05,Vinnytska,2018,211,324.8,16737.6,51.5
UA05,Vinnytska,2018,213,105.3,3947,37.5
UA05,Vinnytska,2018,214,1.8,46.4,25.9
UA05,Vinnytska,2018,215,1.1,25.6,23.5
UA05,Vinnytska,2018,216,378.9,37513.8,99
UA05,Vinnytska,2018,220,7.7,100.9,13
UA05,Vinnytska,2018,222,55.3,31494.5,568.9
